Title,Author,State,District,Date of Challenge/Removal,Banned Status,Ban Origin
My Friend Dahmer,"Backderf, Derf",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Neanderthal Opens the Door to the Universe,"Norton, Preston",Texas,Frisco Independent School District,Nov-22,Banned from Libraries,Administration
Nineteen Minutes,"Picoult, Jodi",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
Ninth House,"Bardugo, Leigh",Texas,Frisco Independent School District,Oct-22,Banned Pending Investigation,Administration
No More Poems!: A Book in Verse That Just Gets Worse,"Miller, Rhett",Texas,Keller Independent School District,Apr-23,Banned Pending Investigation,Formal Challenge
Not That Bad: Dispatches from Rape Culture,"Gay, Roxane",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
9-Nov,"Hoover, Colleen",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Now I Rise,"White, Kiersten",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Odd One Out,"Stone, Nic",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
On Earth We're Briefly Gorgeous,"Vuong, Ocean",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
One of Us is Next,"McManus, Karen M.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Ordinary Hazards,"Grimes, Nikki",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Original Fake,"Cronn-Mills, Kirstin",Texas,Frisco Independent School District,Nov-22,Banned from Libraries,Administration
Oryx and Crake,"Atwood, Margaret",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Oryx and Crake,"Atwood, Margaret",Texas,Frisco Independent School District,Nov-22,Banned from Libraries and Classrooms,Administration
Oryx and Crake,"Atwood, Margaret",Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
Out of Darkness,"Pérez, Ashley Hope",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Informal Challenge
Out of Darkness,"Pérez, Ashley Hope",Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
Out of Darkness,"Pérez, Ashley Hope",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
P. S. I Still Love You,"Han, Jenny",Texas,Frisco Independent School District,Aug-22,Banned from Libraries,Administration
Parable of the Sower,"Butler, Octavia E.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Parable of the Talents,"Butler, Octavia E.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Passenger,"Bracken, Alexandra",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
Peaceful Fights for Equal Rights,"Sanders, Rob",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Peak,"Smith, Roland",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
People Kill People,"Hopkins, Ellen",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
People Kill People,"Hopkins, Ellen",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Informal Challenge
Perfect,"Hopkins, Ellen",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Perfect,"Hopkins, Ellen",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Informal Challenge
Perfect,"Hopkins, Ellen",Texas,Keller Independent School District,Jan-23,Banned from Libraries and Classrooms,Formal Challenge
Pillage,"Skye, Obert",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Point Blank,"Horowitz, Anthony",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Poisoned,"Donnelly, Jennifer",Texas,Frisco Independent School District,Nov-22,Banned from Libraries,Administration
"Pox, Pus and Plague","Townsend, John",Texas,Frisco Independent School District,Sep-22,Banned from Libraries,Administration
Prey,"Crichton, Michael",Texas,Frisco Independent School District,Oct-22,Banned Pending Investigation,Administration
Public Enemies,"Aguirre, Ann",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
Push,Sapphire,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Push,Sapphire,Texas,Lake Travis Independent School District,Nov-22,Banned from Libraries and Classrooms,Informal Challenge
Queen of Air and Darkness,"Clare, Cassandra",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Queen of Shadows,"Maas, Sarah J.",Texas,Frisco Independent School District,Nov-22,Banned from Libraries,Administration
Queen of Shadows,"Maas, Sarah J.",Texas,Keller Independent School District,Feb-23,Banned from Libraries,Formal Challenge
"Queer, There and Everywhere: 23 People Who Changed the World","Prager, Sarah",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Queer: The Ultimate LGBTQ Guide for Teens,"Belge, Kathy",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
Ramona Blue,"Murphy, Julie",Texas,Conroe Independent School District,Nov-22,Banned from Libraries,Formal Challenge
"Rat Queens, Vol. 1: Sass & Sorcery","Wiebe, Kurtis J.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
"Rat Queens, Vol. 2: The Far Reaching Tentacles of N'Rygoth","Wiebe, Kurtis J.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
"Rat Queens, Vol. 3: Demons","Wiebe, Kurtis J.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
Rebecca,"du Maurier, Daphne",Texas,Frisco Independent School District,Jan-23,Banned from Libraries,Administration
Red Hood,"Arnold, Elana K.",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Red Hood,"Arnold, Elana K.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
Red Hood,"Arnold, Elana K.",Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
"Red, White, and Royal Blue","McQuiston, Casey",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
"Red, White, and Royal Blue","McQuiston, Casey",Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
Regretting You,"Hoover, Colleen",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Relish: My Life in the Kitchen,"Knisley, Lucy",Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
Reluctantly Alice,"Naylor, Phyllis Reynolds",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Reminders of Him,"Hoover, Colleen",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Revelations,"de la Cruz, Melissa",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Rick,"Gino, Alex",Texas,Lake Travis Independent School District,Mar-23,Banned from Libraries and Classrooms,Informal Challenge
Ringer,"Oliver, Lauren",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
Rogue Wave,"Donnelly, Jennifer",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Rumble,"Hopkins, Ellen",Texas,Keller Independent School District,Jan-23,Banned from Libraries and Classrooms,Formal Challenge
Salt to the Sea,"Sepetys, Ruta",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Scars,"Rainfield, Cheryl",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
Schooled,"Korman, Gordon",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Scorpia,"Horowitz, Anthony",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Scorpia Rising,"Horowitz, Anthony",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,"Tonatiuh, Duncan",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Shadows on the Stars,"Barron, T. A.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Shadowsong,"Jae-Jones, S.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Shine,"Myracle, Lauren",Texas,Frisco Independent School District,Nov-22,Banned from Libraries and Classrooms,Administration
"Shirley Jackson's ""The Lottery"": The Authorized Graphic Adaptation","Hyman, Miles",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Skeleton Key,"Horowitz, Anthony",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Skin,"Vrettos, Adrienne Maria",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
Smoke,"Hopkins, Ellen",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Smoke,"Hopkins, Ellen",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Informal Challenge
Smoke,"Hopkins, Ellen",Texas,Keller Independent School District,Jan-23,Banned from Libraries and Classrooms,Formal Challenge
Snakehead,"Horowitz, Anthony",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Sold,"McCormick, Patricia",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Sold,"McCormick, Patricia",Texas,Keller Independent School District,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
Sold,"McCormick, Patricia",Texas,Lake Travis Independent School District,Mar-23,Banned from Libraries,Informal Challenge
Sonny's House of Spies,"Lyon, George Ella",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
"Soul Eater, Vol. 1","Ohkubo, Atsushi",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
"Soul Eater, Vol. 2","Ohkubo, Atsushi",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
"Soul Eater, Vol. 3","Ohkubo, Atsushi",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
"Soul Eater, Vol. 4","Ohkubo, Atsushi",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
"Soul Eater, Vol. 5","Ohkubo, Atsushi",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Soupy Leaves Home,"Castellucci, Cecil",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
"Space Battle Lunchtime, Vol. 2: A Recipe for Disaster","Riess, Natalie",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Spinning,"Walden, Tillie",Texas,Frisco Independent School District,Mar-23,Banned from Libraries and Classrooms,Administration
"Spy x Family, Vol. 1","Endo, Tatsuya",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
"Spy x Family, Vol. 2","Endo, Tatsuya",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
"Spy x Family, Vol. 3","Endo, Tatsuya",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
"Spy x Family, Vol. 4","Endo, Tatsuya",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
"Spy x Family, Vol. 5","Endo, Tatsuya",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
"Spy x Family, Vol. 6","Endo, Tatsuya",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Stargirl,"Spinelli, Jerry",Texas,Frisco Independent School District,Jan-23,Banned from Libraries,Administration
Stolen,"Christopher, Lucy",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Stormbreaker,"Horowitz, Anthony",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Strange the Dreamer,"Taylor, Laini",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Striving for Equality: LGBTQ Athletes Claim the Field,"Cronn-Mills, Kirstin",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Surviving Antarctica: Reality TV 2083,"White, Andrea",Texas,Frisco Independent School District,Sep-22,Banned from Libraries,Administration
Symptoms of Being Human,"Garvin, Jeff",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Tattoo Atlas,"Floreen, Tim",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Teenage Sex and Pregnancy,"Parks, Peggy J.",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Teens and LGBT Issues,"Wilcox, Christine",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Tell Me Three Things,"Buxbaum, Julie",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Abduction,"Grisham, John",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Texas,Frisco Independent School District,Sep-22,Banned from Libraries and Classrooms,Informal Challenge
The Accomplice,"Grisham, John",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Accused,"Grisham, John",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Activist,"Grisham, John",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Adventures of Tom Sawyer (Sterling Illustrated Classics),"Twain, Mark",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
The Assassin's Blade,"Maas, Sarah J.",Texas,Keller Independent School District,Feb-23,Banned Pending Investigation,Formal Challenge
The Battle Against Polio,"Peters, Stephanie True",Texas,Frisco Independent School District,Sep-22,Banned from Libraries,Administration
The Beautiful,"Ahdieh, Renée",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
The Beauty of Darkness,"Pearson, Mary E.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Bible,Unknown,Texas,Keller Independent School District,Fall 2022,Banned Pending Investigation,Formal Challenge
The Big Questions Book of Sex and Consent,"Freitas, Donna",Texas,Frisco Independent School District,Nov-22,Banned from Libraries,Administration
The Black Flamingo,"Atta, Dean",Texas,Keller Independent School District,Feb-23,Banned Pending Investigation,Formal Challenge
The Black Friend: On Being a Better White Person,"Joseph, Frederick",Texas,Spring Branch Independent School District,Jan-23,Banned from Libraries,Unclear
The Bluest Eye,"Morrison, Toni",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
The Bluest Eye,"Morrison, Toni",Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
The Book of Magic,"Barron, T. A.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Boy Who Dared,"Campbell Bartoletti, Susan",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Breakaways,"Johnson, Cathy G.",Texas,Keller Independent School District,Fall 2022,Banned Pending Investigation,Formal Challenge
The Breakaways,"Johnson, Cathy G.",Texas,Lake Travis Independent School District,Mar-23,Banned from Libraries and Classrooms,Informal Challenge
The Bridge,"Konigsberg, Bill",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Camelot Betrayal,"White, Kiersten",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Carnival at Bray,"Foley, Jessie Ann",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
The Chupacabra,"Flitcroft, Jean",Texas,Frisco Independent School District,Sep-22,Banned from Libraries,Administration
The City We Became: A Novel,"Jemisin, N. K.",Texas,Frisco Independent School District,Oct-22,Banned Pending Investigation,Administration
The Country of Ice Cream Star,"Newman, Sandra",Texas,Frisco Independent School District,Oct-22,Banned Pending Investigation,Administration
The Damned,"Ahdieh, Renée",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
The Dark and Hollow Places,"Ryan, Carrie",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Dark Tide,"Jasinska, Alicia",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Darkest Legacy,"Bracken, Alexandra",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
The Dazzling Heights,"McGee, Katharine",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Dead Inside,"Etler, Cyndy Drew",Texas,Frisco Independent School District,Dec-22,Banned from Libraries and Classrooms,Administration
The Dead-Tossed Waves,"Ryan, Carrie",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Death of Bees,"O'Donnell, Lisa",Texas,Frisco Independent School District,Oct-22,Banned Pending Investigation,Administration
The Deep & Dark Blue,"Smith, Niki",Texas,Keller Independent School District,Apr-23,Banned Pending Investigation,Formal Challenge
The Devil's Intern,"Hosie, Donna",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Dirt on Mr. Claxton,"Youngblood, Tiffany",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Downside of Being Up,"Sitomer, Alan Lawrence",Texas,Keller Independent School District,Mar-23,Banned Pending Investigation,Formal Challenge
The Duel: The Parallel Lives of Alexander Hamilton and Aaron Burr,"St. George, Judith",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
The Edge,"Smith, Roland",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Epidemic,"Young, Suzanne",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Eternal Flame,"Barron, T. A.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Exact Opposite of Okay,"Steven, Laura",Texas,Frisco Independent School District,Nov-22,Banned from Libraries and Classrooms,Informal Challenge
The Fellowship of the Ring,"Tolkien, J.R.R.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Fire,"Patterson, James",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Fires of Merlin,"Barron, T. A.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Forest of Hands and Teeth,"Ryan, Carrie",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Fugitive,"Grisham, John",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Gadgets,"Horowitz, Anthony",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Gift,"Patterson, James",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Girls I've Been,"Sharpe, Tess",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Giver,"Lowry, Lois",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Grand Escape: The Greatest Prison Breakout of the 20th Century,"Bascomb, Neal",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Great American Whatever,"Federle, Tim",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Great Tree of Avalon: Child of the Dark Prophecy,"Barron, T. A.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Grief Keeper,"Villasante, Alexandra",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
The Grief Keeper,"Villasante, Alexandra",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Grimm Legacy,"Shulman, Polly",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Handmaid's Tale,"Atwood, Margaret",Texas,Conroe Independent School District,Nov-22,Banned from Libraries and Classrooms,Formal Challenge
The Handmaid's Tale,"Atwood, Margaret",Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
The Handmaid's Tale,"Atwood, Margaret",Texas,Spring Branch Independent School District,Jan-23,Banned from Libraries,Unclear
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Texas,Frisco Independent School District,Aug-22,Banned from Libraries and Classrooms,Administration
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
The Handsome Girl & Her Beautiful Boy,"Gottfred, B. T.",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
The Hate U Give,"Thomas, Angie",Texas,Keller Independent School District,Feb-23,Banned Pending Investigation,Formal Challenge
The Haters,"Andrews, Jesse",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
The Haters,"Andrews, Jesse",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
The Heart of Betrayal,"Pearson, Mary E.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Hobbit,"Tolkien, J.R.R.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The House on Mango Street,"Cisneros, Sandra",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Immortalists,"Benjamin, Chloe",Texas,Frisco Independent School District,Jul-22,Banned from Libraries and Classrooms,Administration
The Infinite Moment of Us,"Myracle, Lauren",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
The Infinite Moment of Us,"Myracle, Lauren",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
The Infinite Moment of Us,"Myracle, Lauren",Texas,Lake Travis Independent School District,Mar-23,Banned from Libraries and Classrooms,Informal Challenge
The Kiss,"Patterson, James",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Kiss of Deception,"Pearson, Mary E.",Texas,Frisco Independent School District,Oct-22,Banned Pending Investigation,Administration
The Last Star,"Yancey, Rick",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
The Library of Lost Things,"Namey, Laura Taylor",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
The Line,"Hall, Teri",Texas,Frisco Independent School District,Nov-22,Banned from Libraries,Administration
The Lost,"Patterson, James",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Lost Years of Merlin,"Barron, T. A.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Loudness,"Courage, Nick",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Lovely Bones,"Sebold, Alice",Texas,Frisco Independent School District,Nov-22,Banned from Libraries and Classrooms,Administration
The Mark,"Nadol, Jen",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Melancholy of Haruhi Suzumiya,"Tanigawa, Nagaru",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Mirror of Merlin,"Barron, T. A.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Misfits,"Howe, James",Texas,Keller Independent School District,Fall 2022,Banned Pending Investigation,Formal Challenge
The Nerdy and the Dirty,"Gottfred, B. T.",Texas,Keller Independent School District,Apr-23,Banned from Libraries and Classrooms,Formal Challenge
The November Criminals,"Munson, Sam",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
The Nowhere Girls,"Reed, Amy",Texas,Belton Independent School District,Oct-22,Banned Pending Investigation,Formal Challenge
The Nowhere Girls,"Reed, Amy",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
The Nowhere Girls,"Reed, Amy",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Formal Challenge
The Ocean at the End of the Lane,"Gaiman, Neil",Texas,Frisco Independent School District,Oct-22,Banned Pending Investigation,Administration
The Outcast,"Matharu, Taran",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
The Pacific Giants,"Flitcroft, Jean",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Pants Project,"Clarke, Cat",Texas,Keller Independent School District,Mar-23,Banned from Libraries and Classrooms,Formal Challenge
The Perks of Being a Wallflower,"Chbosky, Stephen",Texas,Conroe Independent School District,Sep-22,Banned from Classrooms,Formal Challenge
The Perks of Being a Wallflower,"Chbosky, Stephen",Texas,Spring Branch Independent School District,Jan-23,Banned from Libraries,Unclear
The Phantom Twin,"Brown, Lisa",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Poet X,"Acevedo, Elizabeth",Texas,Keller Independent School District,Jan-23,Banned from Classrooms,Formal Challenge
The Poet X,"Acevedo, Elizabeth",Texas,Lake Travis Independent School District,Mar-23,Banned from Libraries,Informal Challenge
The Pride Guide: A Guide to Sexual and Social Health for LGBTQ Youth,"Langford, Jo",Texas,Frisco Independent School District,Nov-22,Banned from Libraries and Classrooms,Administration
The Program,"Young, Suzanne",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Promised Neverland,"Shirai, Kaiu",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
The Remedy,"Young, Suzanne",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Return of the King,"Tolkien, J.R.R.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Rise and Fall of Charles Lindbergh,"Fleming, Candace",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The River,"Paulsen, Gary",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Scandal,"Grisham, John",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Secrets of Peaches,"Anderson, Jodi Lynn",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
The Seven Songs of Merlin,"Barron, T. A.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Sigh of Haruhi Suzumiya,"Tanigawa, Nagaru",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Sleeping Prince,"Salisbury, Melinda",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
The Storm in the Barn,"Phelan, Matt",Texas,Keller Independent School District,Fall 2022,Banned Pending Investigation,Formal Challenge
The Sun and Her Flowers,"Kaur, Rupi",Texas,Belton Independent School District,Jan-23,Banned Pending Investigation,Formal Challenge
The Sun and Her Flowers,"Kaur, Rupi",Texas,Frisco Independent School District,Nov-22,Banned from Libraries and Classrooms,Administration
The Sun and Her Flowers,"Kaur, Rupi",Texas,Keller Independent School District,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Sweetness at the Bottom of the Pie,"Bradley, Alan",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
"The Teenage Guy's Survival Guide: The Real Deal on Going Out, Growing Up, and Other Guy Stuff","Daldry, Jeremy",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Test,"Kern, Peggy",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Thousandth Floor,"McGee, Katharine",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Towering Sky,"McGee, Katharine",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Treatment,"Young, Suzanne",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Two Towers,"Tolkien, J.R.R.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
The Upside of Unrequited,"Albertalli, Becky",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Van Alen Legacy,"de la Cruz, Melissa",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Wings of Merlin,"Barron, T. A.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
The Year of the Flood,"Atwood, Margaret",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
The Yellow Birds,"Powers, Kevin",Texas,Frisco Independent School District,Oct-22,Banned Pending Investigation,Administration
